,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,22,30,105,82,233,161,416,268,655,1977
1,V2,4,23,28,98,82,231,160,416,270,663,1976
2,V3,8,15,60,53,160,122,324,209,532,341,1825
3,V4,8,14,56,56,172,114,316,226,548,314,1825
