,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.2966,0.3644,0.0463,"x, y, z",16 h,1,1
1,V2,3,0.4068,0.3642,0.25,"x, y, 1/4",8 e,m,2
