,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,9,18,35,42,86,84,143,138,215,774,8(4).8(4).8(4)
1,V2,3,9,15,35,43,78,83,145,135,223,770,6.6.6
2,V3,4,8,21,28,57,62,111,108,181,168,749,6.8(2).6.8(3).6.8(3)
