,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.5179,0.25,0.431,"x, 1/4, z",8 g,m,2
1,V2,4,0.565,0.065,0.25,"x, x-1/2, 1/4",8 j,2,2
2,V3,4,0.0,0.0,0.0,"0, 0, 0",8 e,-1,2
