,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,24,32,122,104,322,220,616,372,1002,2819
1,V2,4,24,32,122,100,306,220,622,372,994,2797
2,V3,9,15,72,71,231,170,495,306,837,482,2689
