,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,5,16,29,41,48,62,102,119,126,552
1,V2,3,6,14,27,36,51,63,86,116,131,534
2,V3,3,7,15,25,37,48,61,91,117,127,532
3,V4,4,11,17,28,40,55,73,91,114,143,577
4,V5,6,13,21,25,39,61,72,88,111,154,591
5,V6,7,14,19,26,36,58,76,89,108,152,586
