,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,18,88,74,244,170,480,306,796,482,2671
1,V2,4,6,48,50,192,138,412,266,712,434,2263
2,V3,4,30,34,144,109,336,223,608,377,960,2826
