,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,9,33,73,135,198,305,384,543,632,849,3162
1,V2,12,24,80,114,228,260,456,450,740,708,3073
