,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,6,10,15,26,33,48,68,77,108,396,3.8.3.8.4.16(6)
1,V2,5,6,10,20,24,40,56,62,82,109,415,3.3.3.3.16(6).16(6).16(6).16(6).*.*
2,V3,3,6,11,16,20,32,51,66,82,101,389,4.8.8
3,V4,3,6,12,16,28,40,56,74,75,83,394,3.16(12).16(12)
