,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,4,6,10,26,48,64,73,76,87,398,3.16(6).16(6)
1,V2,3,4,8,18,24,36,59,73,80,95,401,3.16(6).16(6)
2,V3,3,5,12,20,27,33,48,71,85,103,408,3.8(2).16(6)
3,V4,4,9,15,21,27,35,47,63,87,119,428,4.8.4.8.6.16(2)
