,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,18,27,38,54,76,103,130,162,622,3.6.4.6.4.12
1,V2,5,11,17,24,36,56,79,102,129,162,622,3.4.4.4.4.4.6.6.24.24
