,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,6,16,34,64,110,148,228,290,375,491,1763
1,V2,6,16,32,63,100,155,216,290,384,466,1729
2,V3,7,17,37,71,108,167,221,302,395,478,1804
