,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,16,25,37,53,74,99,125,151,594,4.4.4.6.6.8
1,V2,4,9,17,28,41,56,73,93,117,146,585,4.4.4.8.6.8
