,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,1,4,16,46,105,216,384,613,881,1195,1550,5011
1,2,4,13,39,93,193,359,561,840,1154,1492,4749
2,3,8,36,96,198,362,562,840,1154,1492,1890,6639
3,4,11,43,108,221,387,614,881,1195,1550,1961,6972
