,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,8,44,34,92,74,212,130,308,202,1109
1,V2,8,10,32,34,112,74,184,130,344,202,1131
2,V3,3,14,19,62,51,144,99,254,163,400,1210
