,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,4,7,11,16,22,36,52,55,67,274,3.16(3).16(3)
1,V2,3,5,7,10,16,26,38,48,60,77,291,4.16(3).16(3)
