,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,8,16,29,46,65,96,128,159,200,751,6.6.8(5)
1,V2,4,8,18,29,44,71,98,124,160,195,752,6.6.8.8.8(3).8(3)
