,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,10,23,46,65,106,140,188,237,299,1119,4.6.4.7.7(3).9(7)
1,V2,4,10,23,44,70,102,144,187,243,304,1132,4.7(3).4.8.6.9(5)
2,V3,4,10,23,44,73,101,143,187,250,302,1138,4.6.4.7(2).7(2).9(8)
