,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0775,0.0,0.0775,"x, 0, x",12 f,m
1,E2,0.1223,0.1223,0.1223,"x, x, x",8 1,3
2,E3,0.236,0.1728,0.2018,"x, y, z",24 l,1
3,E4,0.2708,0.2418,0.2076,"x, y, z",24 l,1
4,E5,0.3638,0.1281,0.2365,"x, y, z",24 l,1
5,E6,0.5,0.0775,0.2366,"1/2, y, z",12 k,m
6,E7,0.4225,0.0,0.2366,"x, 0, x",12 j,m
