,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,28,78,112,204,254,396,448,654,700,2887
1,V2,9,34,66,127,183,281,357,499,588,778,2923
