,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,13,78,46,210,101,408,178,672,277,1996
1,V2,4,32,26,134,70,298,136,530,224,826,2281
