,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,16,24,33,45,62,85,113,143,535,4.4.4.8.6.16
1,V2,4,8,12,18,29,44,60,77,98,125,476,4.4.4.4.6.16
