,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,7,22,51,90,139,200,271,354,447,552,2134
1,V2,7,24,51,90,139,200,271,354,447,552,2136
