,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.1812,"0, 0, z",8 c,2
1,E2,0.91,0.9706,0.0,"x, y, z",16 e,1
2,E3,0.9393,0.75,0.125,"x, 3/4, 1/8",8 d,2
3,E4,0.8447,0.8299,0.0281,"x, y, z",16 e,1
4,E5,0.8447,0.8007,0.2781,"x, y, z",16 e,1
5,E6,0.25,0.25,0.625,"x, 1/4, 5/8",8 d,2
