,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,10,46,110,214,338,474,674,870,1102,1374,5213
1,V2,15,55,126,223,347,502,683,891,1130,1395,5368
