,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.0,0.0,"0, 0, 0",4 a,222,4
1,V2,4,0.455,0.25,0.125,"x, 1/4, 1/8",8 f,2,2
