,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2257,0.0388,0.75,"x, y, z",18 f,1
1,E2,0.2601,0.9462,0.0833,"x, y, z",18 f,1
2,E3,0.1323,0.9259,0.5,"x, y, z",18 f,1
3,E4,0.1323,0.9259,0.0,"x, y, z",18 f,1
4,E5,0.3333,0.1667,0.1667,"1/3, 1/6, 1/6",9 d,-1
