,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,10,26,38,68,94,132,164,212,258,1007,3.7.7.7.7(2).7(2)
1,V2,4,10,26,42,69,94,131,166,216,262,1021,3.7.7.7.7(2).7(2)
