,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0,0.162,0.162,"0, y, y",24 h,mm2,4
1,V2,5,0.0,0.081,0.081,"0, y, y",24 h,mm2,4
2,V3,3,0.0573,0.2321,0.2321,"x, y, y",48 k,m,2
3,V4,5,0.169,0.25,0.25,"x, y, y",48 k,m,2
