,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.045,0.3478,0.1929,"x, y, z",36 i,1,1
1,V2,3,0.0,0.4281,0.5,"0, y, 0",18 f,2,2
2,V3,4,0.1249,0.2498,0.3814,"x, 2x, z",18 h,m,2
3,V4,4,0.1254,0.2509,0.2836,"x, 2x, z",18 h,m,2
4,V5,4,0.0967,0.3372,0.2446,"x, y, z",36 i,1,1
5,V6,4,0.0479,0.0959,0.3039,"x, 2x, z",18 h,m,2
6,V7,4,0.0479,0.0959,0.3603,"x, 2x, z",18 h,m,2
