,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,20,28,98,84,234,164,422,276,670,2001
1,V2,4,22,32,106,88,244,172,438,284,688,2079
2,V3,8,14,60,58,172,126,336,226,560,350,1911
