Material,Eg (slab),Type,Eg (bulk),Type,E (slab),E (bulk),Eb,IAD (slab),IAD (bulk),State (slab),State (bulk),Dens (bulk),Mass,Atoms,Vacuum
SbI31,1.3332,DIRECT,3.0472,INDIRECT,-4509.199153725,-4509.46686817,-7.284884848695313,5.598819212690142,5.395489140855484,SEMI,SEMI,-0.5392595303359266,-360.0,16,0.533371654054395
Y2Br2C2,0.0524,DIRECT,0.0,Null,-358.4271360518,-359.2802008307,-23.21308692455884,5.349547868162349,4.134181691692474,SEMI,COND,-0.3123136658591068,-80.0,12,2.993008127756729
TlF1,4.2581,INDIRECT,3.4792,INDIRECT,-605.6557315107,-605.6836557491,-0.7598576207986488,3.875481784820999,3.5111829461271475,SEMI,SEMI,-0.23067662563786845,-40.0,8,2.5913600787477487
