,vertex,coordination,x,y,z,symbolic
0,V1,5,0.0,0.0,0.3494,"0, 0, z"
1,V2,4,0.0,0.0,0.1747,"0, 0, z"
2,V3,3,0.0,0.0,0.0,"0, 0, 0"
