,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,9,14,19,23,28,33,37,42,47,258,3^3.4^2
1,V2,4,10,14,18,24,28,32,38,42,46,257,4^2.5^2
2,V3,3,7,12,17,23,28,33,37,42,47,250,5^3
