,vertex,coordination,x,y,z,symbolic
0,V1,4,0.104,0.0261,0.0,"x, y, 0"
1,V2,3,0.2888,0.204,0.0,"x, y, 0"
2,V3,3,0.0887,0.3998,0.0,"x, y, 0"
