,vertex,coordination,x,y,z,symbolic
0,V1,3,0.1928,0.2152,0.0,"x, y, 0"
1,V2,4,0.1654,0.477,0.0,"x, y, 0"
2,V3,4,0.0,0.0,0.0,"0, 0, 0"
