,vertex,coordination,x,y,z,symbolic
0,V1,3.0,0.1282,0.3852,0.0,"x, y, 0"
1,V2,3.0,0.0696,0.4719,0.0,"x, y, 0"
2,V3,3.0,0.2411,0.4822,0.0,"x, 2x, 0"
3,3.6^2,,0.2977,0.5954,0.0,"x, 2x, 0"
