,vertex,coordination,x,y,z,symbolic
0,V1,3,0.3333,0.6667,0.0,"1/3, 2/3, 0"
1,V2,3,0.245,0.49,0.0,"x, 2x, 0"
2,V3,4,0.0,0.5,0.0,"0, 2/2, 0"
