,vertex,coordination,x,y,z,symbolic
0,V1,5,0.0,0.1058,0.0,"0, y, 0"
1,V2,3,0.5,0.2883,0.0,"1/2, y, 0"
2,V3,4,0.5,0.5,0.0,"1/2, 1/2, 0"
