,vertex,coordination,x,y,z,symbolic
0,V1,3,0.244,0.0236,0.0,"x, y, 0"
1,V2,3,0.1642,0.1993,0.0,"x, y, 0"
2,V3,3,0.4318,0.0682,0.0,"x, 1/2-x, 0"
