,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,7,10,15,19,21,25,30,32,35,199,3.4^2.8
1,V2,4,7,11,15,17,22,26,28,33,37,201,3^2.4.8
