,vertex,coordination,x,y,z,symbolic
0,V1,3,0.1145,0.4494,0.0,"x, y, 0"
1,V2,3,0.0022,0.2777,0.0,"x, y, 0"
2,V3,3,0.0365,0.0907,0.0,"x, y, 0"
3,V4,3,0.75,0.2119,0.0,"3/4, y, 0"
4,V5,3,0.75,0.0236,0.0,"3/4, y, 0"
