,vertex,coordination,x,y,z,symbolic
0,V1,3,0.046,0.1613,0.0,"x, y, 0"
1,V2,4,0.25,0.3821,0.0,"1/4, y, 0"
2,V3,4,0.0,0.5,0.0,"0, 1/2, 0"
