,vertex,coordination,x,y,z,symbolic
0,V1,4,0.368,0.0241,0.0,"x, y, 0"
1,V2,3,0.0481,0.3021,0.0,"x, y, 0"
2,V3,3,0.1045,0.0738,0.0,"0, y, 0"
