,vertex,coordination,x,y,z,symbolic
0,V1,3,0.2895,0.579,0.0,"x, 2x, 0"
1,V2,3,0.2143,0.4286,0.0,"x, 2x, 0"
2,V3,3,0.0653,0.331,0.0,"x, y, 0"
3,V4,3,0.4666,0.1335,0.0,"x, y, 0"
