,vertex,coordination,x,y,z,symbolic
0,V1,3,0.254,0.0,0.2459,"x, 0, z"
1,V2,4,0.2513,0.0,0.582,"1x, 0, z"
2,V3,5,0.7513,0.0,0.082,"x, 0, z"
