,vertex,coordination,x,y,z,symbolic
0,V1,3,0.1,0.25,0.0,"0, y, 0"
1,V2,4,0.0,0.0,0.75,"0, 0, z"
2,V3,6,0.0,0.5,0.75,"0, 1/2, z"
