,vertex,coordination,x,y,z,symbolic
0,V1,3,0.319,0.1474,0.0,"x, y, 0"
1,V2,3,0.4872,0.2279,0.0,"x, y, 0"
2,V3,3,0.0144,0.2925,0.0,"x, y, 0"
3,V4,3,0.1813,0.5774,0.0,"x, y, 0"
4,V5,3,0.026,0.4437,0.0,"x, y, 0"
