,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,6,12,14,24,27,35,36,48,48,58,309,3^6
1,V2,5,11,17,23,29,33,38,44,48,56,305,3^2.4.3.4
2,V3,5,12,16,24,26,36,37,45,49,56,307,3^2.4.3.4
3,V4,5,10,17,22,29,32,40,43,52,55,306,3^2.4.3.4
4,V5,5,10,17,21,28,32,41,45,50,55,305,3^2.4.3.4
5,V6,5,12,17,21,27,34,39,46,49,56,307,3^2.4.3.4
6,V7,5,11,17,20,29,34,39,44,52,55,307,3^2.4.3.4
7,V8,5,10,17,22,27,33,40,45,52,57,309,3^2.4.3.4
8,V9,5,11,16,24,25,33,40,46,51,57,309,3^2.4.3.4
