,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,6,10,14,16,20,24,26,30,34,185,3^2.8^2
1,V2,3,5,10,13,17,20,23,27,30,33,182,3.8^2
