,vertex,coordination,x,y,z,symbolic
0,V1,3,0.25,0.4375,0.0,"1/4, y, 0"
1,V2,4,0.25,0.1875,0.0,"1/4, y, 0"
2,V3,5,0.75,0.0625,0.0,"3/4, y, 0"
