,vertex,coordination,x,y,z,symbolic
0,V1,6,0.25,0.0,0.079,"1/4, 0, z"
1,V2,3,0.75,0.0,0.2371,"3/4, 0, z"
2,V3,3,0.25,0.0,0.579,"1/4, 0, z"
