,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,5,7,8,8,10,14,18,24,27,125,4.8^2
1,V2,3,4,7,9,10,12,14,20,21,25,126,3.8^2
2,V3,3,4,7,10,10,14,16,19,21,24,129,3.8.16
3,V4,3,5,7,9,12,15,17,19,21,24,133,4.8.16
