,vertex,coordination,x,y,z,symbolic
0,V1,6,0.683,0.183,0.0,"x, 1/2+x, 0"
1,V2,5,0.049,0.0849,0.0,"x, y, 0"
2,V3,5,0.183,0.049,0.0,"x, y, 0"
3,V4,5,0.1471,0.183,0.0,"x, y, 0"
4,V5,5,0.2189,0.7189,0.0,"x, 1/2+x, 0"
5,V6,5,0.317,0.0849,0.0,"x, y, 0"
6,V7,5,0.2189,0.451,0.0,"x, y, 0"
7,V8,5,0.0849,0.4151,0.0,"x, 1/2-x, 0"
8,V9,5,0.049,0.549,0.0,"x, 1/2+x, 0"
