,vertex,coordination,x,y,z,symbolic
0,V1,3,0.0,0.2474,0.6649,"0, y, z"
1,V2,5,0.0,0.2526,0.0,"0, y, z"
2,V3,4,0.0,0.2474,0.335,"0, y, z"
