,vertex,coordination,x,y,z,symbolic
0,V1,5,0.25,0.0,0.0369,"1/4, 0, z"
1,V2,4,0.25,0.0,0.1221,"1/4, 0, z"
2,X3,4,0.25,0.0,0.2074,"1/4, 0, z"
3,V4,4,0.25,0.0,0.2926,"1/4, 0, z"
4,V5,4,0.25,0.0,0.3779,"1/x, 0, z"
5,V6,3,0.25,0.0,0.4631,"1/4, 0, z"
