,vertex,coordination,x,y,z,symbolic
0,V1,4,0.0,0.2839,0.0,"0, y, 0"
1,V2,4,0.1172,0.4506,0.0,"x, y, 0"
2,V3,4,0.1667,0.3333,0.0,"x, 2x, 0"
3,V4,4,0.2346,0.6173,0.0,"2y, y, 0"
4,V5,4,0.0,0.5,0.0,"0, 1/2, 0"
