,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,8,15,18,27,27,41,35,53,47,275,3.4.5
1,V2,5,10,16,21,25,34,35,44,49,51,291,3.5.4^2.5
2,V3,4,10,14,21,27,30,38,42,46,56,289,3.4.5^2
