,vertex,coordination,x,y,z,symbolic
0,V1,5,0.666,0.0,0.3777,"x, 0, z"
1,V2,5,0.1541,0.0,0.289,"x, 0, z"
2,V3,5,0.756,0.0,0.0443,"x, 0, z"
