,vertex,coordination,x,y,z,symbolic
0,V1,3,0.2693,0.4054,0.0,"x, y, 0"
1,V2,3,0.0,0.2358,0.0,"0, y, 0"
2,V3,3,0.0,0.0,0.0,"0, 0, 0"
3,V4,3,0.3333,0.6667,0.0,"1/3, 2/3, 0"
