,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,11,16,21,22,28,33,33,40,217,3.4.6^2
1,V2,4,7,13,16,17,27,27,28,40,38,218,3^2.4.6
