,vertex,coordination,x,y,z,symbolic
0,V1,3,0.6377,0.2061,0.0,"x, y, 0"
1,V2,3,0.5,0.1113,0.0,"1/2, y, 0"
2,V3,3,0.7754,0.1113,0.0,"x, y, 0"
