,vertex,coordination,x,y,z,symbolic
0,V1,3,0.3954,0.0,0.0,"x, 0, 0"
1,V2,3,0.1494,0.2087,0.0,"x, y, 0"
2,V3,4,0.0,0.0,0.0,"0, 0, 0"
